X,Y
533,260.125
534,259.845
535,260.910
536,260.004
537,260.391
538,260.557
539,259.979
540,260.485
541,261.293
542,258.922
543,259.648
544,260.640
545,260.369
546,258.128
547,260.090
548,260.323
549,260.077
550,261.040
551,259.924
552,260.207
553,260.791
554,260.595
555,260.430
556,260.819
557,260.857
558,269.093
559,258.977
560,258.941
561,257.590
562,259.454
563,258.619
564,257.421
565,259.653
566,258.386
567,258.378
568,260.162
569,260.821
570,260.128
571,260.141
572,258.902
573,262.269
574,258.604
575,261.137
576,260.697
577,258.282
578,270.716
579,273.817
580,272.927
581,274.743
582,274.712
583,259.387
584,260.508
585,260.332
586,258.685
587,260.624
588,259.485
589,257.918
590,260.941
591,258.417
592,256.211
593,258.542
594,257.478
595,256.505
596,258.218
597,257.907
598,256.118
599,258.128
600,258.486
601,256.403
602,257.587
603,258.445
604,256.244
605,258.110
606,256.930
607,258.512
608,259.682
609,258.988
610,259.431
611,260.669
612,260.868
613,258.947
614,260.615
615,260.995
616,259.806
617,261.422
618,262.369
619,260.459
620,263.271
621,261.483
622,260.413
623,261.686
624,260.827
625,259.501
626,260.485
627,260.858
628,259.201
629,260.597
630,261.535
631,259.086
632,259.075
633,260.791
634,258.857
635,260.674
636,260.450
637,259.564
638,260.406
639,258.470
640,258.733
641,260.500
642,260.858
643,259.312
644,260.066
645,261.022
646,259.239
647,260.465
648,260.349
649,259.111
650,260.489
651,260.505
652,259.756
653,260.767
654,260.536
655,259.916
656,260.102
657,260.704
658,259.630
659,260.099
660,261.503
661,259.978
662,259.488
663,260.689
664,259.555
665,261.017
666,261.977
667,260.351
668,261.273
669,260.585
670,258.583
671,258.354
672,260.605
673,259.307
674,259.308
675,260.907
676,259.878
677,259.938
678,262.066
679,259.918
680,260.153
681,260.387
682,260.042
683,260.640
684,260.616
685,259.693
686,259.465
687,260.769
688,259.745
689,259.534
690,261.003
691,260.136
692,274.353
693,274.453
694,272.325
695,273.222
696,277.068
697,275.938
698,278.881
699,352.444
700,337.670
701,348.691
702,349.666
703,350.167
704,309.234
705,339.503
706,369.929
707,403.906
708,440.453
709,453.102
710,506.741
711,648.262
712,785.360
713,931.636
714,1116.887
715,1297.812
716,1496.712
717,1649.135
718,1861.362
719,2102.669
720,2341.843
721,2559.423
722,2831.330
723,3048.527
724,3357.204
725,3614.999
726,3871.207
727,4176.697
728,4449.573
729,4821.964
730,5112.415
731,5461.396
732,5806.220
733,6119.124
734,6415.631
735,6739.805
736,7026.524
737,7246.238
738,7462.870
739,7555.986
740,7634.289
741,7657.002
742,7722.316
743,7721.845
744,7660.433
745,7655.542
746,7654.352
747,7655.262
748,7655.615
749,7654.109
750,7654.821
751,7654.736
752,7654.170
753,7654.443
754,7655.371
755,7654.625
756,7654.833
757,7655.002
758,7654.651
759,7655.790
760,7655.893
761,7654.439
762,7655.932
763,7654.071
764,7653.696
765,7655.993
766,7655.532
767,7657.595
768,7655.406
769,7655.199
770,7654.514
771,7654.947
772,7655.603
773,7654.885
774,7654.971
775,7656.285
776,7654.329
777,7654.729
778,7655.321
779,7654.483
780,7655.046
781,7655.364
782,7654.876
783,7653.257
784,7655.053
785,7654.843
786,7654.821
787,7655.605
788,7654.912
789,7654.610
790,7655.595
791,7656.024
792,7655.260
793,7655.844
794,7653.479
795,7653.757
796,7655.567
797,7655.263
798,7655.206
799,7655.808
800,7655.716
801,7655.050
802,7656.044
803,7655.853
804,7654.917
805,7657.644
806,7657.142
807,7655.867
808,7656.480
809,7657.089
810,7656.105
811,7655.871
812,7655.653
813,7654.211
814,7655.330
815,7655.856
816,7654.879
817,7655.909
818,7655.373
819,7654.133
820,7655.404
821,7655.305
822,7654.287
823,7656.110
824,7654.821
825,7653.108
826,7654.130
827,7655.844
828,7654.857
829,7656.717
830,7656.793
831,7654.288
832,7655.686
833,7655.979
834,7654.241
835,7655.523
836,7655.099
837,7653.756
838,7656.042
839,7655.416
840,7654.213
841,7655.164
842,7656.265
843,7653.311
844,7655.154
845,7656.076
846,7654.280
847,7655.215
848,7656.086
849,7653.925
850,7655.870
851,7656.003
852,7654.243
853,7656.409
854,7656.079
855,7654.431
856,7654.972
857,7655.684
858,7654.829
859,7655.693
860,7656.407
861,7654.635
862,7655.930
863,7656.781
864,7654.349
865,7656.034
866,7657.290
867,7654.817
868,7656.366
869,7656.220
870,7654.326
871,7655.448
872,7655.845
873,7653.003
874,7655.347
875,7656.537
876,7654.354
877,7655.063
878,7656.234
879,7653.822
880,7655.487
881,7656.116
882,7653.753
883,7655.898
884,7656.188
885,7654.436
886,7655.155
887,7654.551
888,7653.006
889,7654.960
890,7656.384
891,7654.573
892,7654.907
893,7656.437
894,7653.957
895,7655.293
896,7656.024
897,7653.960
898,7655.552
899,7656.494
900,7654.890
901,7655.366
902,7656.348
903,7653.235
904,7656.860
905,7657.063
906,7654.146
907,7654.857
908,7656.427
909,7653.757
910,7655.184
911,7656.217
912,7653.604
913,7654.997
914,7656.596
915,7654.141
916,7654.532
917,7655.651
918,7667.675
919,7669.265
920,7673.121
921,7670.432
922,7668.815
923,7670.525
924,7667.333
925,7667.966
926,7669.573
927,7665.937
928,7670.130
929,7672.637
930,7670.643
931,7671.094
932,7672.743
933,7668.610
934,7668.973
935,7670.633
936,7667.087
937,7667.966
938,7669.930
939,7666.061
940,7655.102
941,7656.227
942,7657.062
943,7656.712
944,7657.635
945,7655.607
946,7654.669
947,7657.232
948,7654.445
949,7653.041
950,7655.579
951,7654.591
952,7655.087
953,7658.032
954,7654.815
955,7655.126
956,7657.684
957,7656.330
958,7655.246
959,7655.986
960,7654.108
961,7653.892
